text,label
"AS RECEIVED: The new NCP coronavirus may not show sign of infection for many days, how can one know if he/she is infected. By the time they have fever and/or cough and goes to the hospital, the lungs is usually 50 % Fibrosis and it's too late!

Taiwan experts provide a simple self-check that we can do every morning:

Take a deep breath and hold your breath for more than 10 seconds. If you complete it successfully without coughing, without discomfort, stuffiness or tightness etc it proves there is no fibrosis in the lungs, basically indicating no infection.

In critical times, please self-check every morning in an environment with clean air!

SERIOUS EXCELLENT ADVICE by Japanese doctors treating COVID-19 cases.  Everyone should ensure your mouth & throat is moist, never DRY. Take a few sips of water every 15 mins at least. WHY?  Even if the virus gets into your mouth...drinking water or other liquids will WASH them down through your oesophagus and into the stomach. Once there in tummy...your stomach ACID will kill all the virus. If you don't drink enough water more regularly...the virus can enter your windpipes and into the LUNGS. That's very dangerous. 
Pls send and share with family, friends and everyone about this ! Take care everyone n may the world recovers from corona virus soon. May all be well n happy 🙏
",1
未來電腦斷層C.T掃描，核磁共振MRI，X'光將會被淘汰。新的數位技術已經到來。現在，醫生可以在屏幕上看透你的身體的每一部位。,1
"期待驚蟄～！
古老曆法一次次
的證實：

瘟疫始於大雪
發於冬至
生於小寒
長於大寒
盛於立春
弱於雨水
衰於驚蟄

千百年來發生在世間的歷次瘟疫，幾乎是按這個規律始終。

2020年三月五曰（陰曆二月十二日）驚蟄日，即將到來，我們期待！

2019年
大雪：12月7日
（陰曆11月12日)
冬至：12月22日
（11月27日)
2020年
小寒：1月6日
（12月12日)
大寒：1月20日
（12月26日)
立春：2月4日
（1月12日)
雨水：2月19日
（1月26日)
驚蟄：3月5日
（2月12日)

這是古人流傳下來的知慧！

期待驚蟄的到來！
萬物初動解疫災！",1
"朋友剛傳來：
 親愛的大家..
剛剛得知..武漢肺炎第27-31例一家人
住在新店玉上園內

該社區已經全面消毒
大家若到新店家樂福或是新店周邊活動
外出口罩..防疫務必做好...
保護自己喔",1
張忠謀對蔡政府受不了了，台積電將出走台灣，現台灣外來直接投資僅越南1/5，台灣什麼都在失去，什麼都留不住了！,1
巴拉圭可以娶3-5個老婆，這是正確的嗎,1
習近平的女兒習明澤在美國哈佛大學畢業聚會時， 當場勁舞，熱情奔放， 舞姿優美 ！ 讓人驚豔，其他同學紛紛視頻轉發。,1
林佳龍的德國簽約案→1100億耶！哈哈哈世紀大騙局真偉大!,1
"快訊
本次選舉藍綠板塊大挪移，再次告訴我們政黨不再是牢不可破，民意才是最大依歸，目前民意推測下屆總統候選人竟然有他(!!!)

line://ch/1341209850

下屆總統必定非他莫屬(讚)，讓我們以最大努力讓他選上總統，(感謝)",1
因爲遠見雜誌評鑑台南市車禍案件最多，全台排名第一名，市長發怒了，所以台南市警察局長要求全市警察5月份起開始交通大取締，超速、闖紅燈、未二段式左轉、違規停車等，各位好友要守法，不要交通違規啊！,1
"周六就是公投大日子，不管是正名運動、同性婚姻、核電議題，請踴躍表達你的意見。不過，律師要提醒，投無效票（廢票）或是不投票，可是變相支持通過！

依照公民投票法第29條，公投案通過只要同時具備兩個條件：

1.多數決：也就是同意 > 不同意。
2.最低同意門檻：也就是同意票要超過投票權人總數的4分之1；本次門檻為494萬票。
只要1+2同時成立，公投案就會通過。
",1
9月14日司機抗議現場，新聞全面封鎖，連Line也封鎖，幾分鐘後就轉發不了，FB也傳不進去，趕快存檔，要不，一會兒就消失了~咱們政府實在太厲害、太神奇了~,1
西班牙的女星，她放言如果西班牙新冠人数超一千就脱光走大街，结果是如此。老外也是够奇葩,1
"潔西是她，
就是她，
只有她有本事，
讓全國舞廳、酒店熄燈的啦！",1
"大法官釋憲字第 672 號
憲法第十五條規定人民財產權應予保障，旨在確保個人依財產之存續狀態行使其自由使用、收益及處分之權能，並免於遭受公權力或第三人之侵害.

汽機車出廠之排驗標準為當時政府所訂定~~~而這標準不可能以日後的保養維修可以一期變四期。現在政府明知空污法所針對之10年以上汽機車業已停產多年，零件皆已停產，車主並無可自力救濟之能力可以自行提高標準。環保署日前要求所有老車都要至少符合4-5期標準，就已預見這些車輛必將無法通過而註銷，是公然違憲！一個號稱以自由及人權為主的政府，公然違憲侵害人民財產權，必將遭受人民選票的唾棄！

 請各位幫忙分享！！謝謝大家🙏🙏",1
"《非常警告》

非常恐怖，蟲蟲危機真實發生，台中市區淪陷，荔枝椿象跑到陽台產卵在衣服上面。

有的可能一不小心就把含有蟲卵的衣服收進衣櫃中。被椿象的汁液噴到會爛到皮膚中。

今天觀察荔枝樹，非常可怕，根本非常難以處理了。小黑蚊+隱翅蟲+荔枝椿象+銀膠菊+福壽螺+銀合歡+小花蔓澤蘭+陰香樹⋯

台中市長拜託不要再吹牛說謊了，這個問題再不快點解決，加上空氣污染嚴重問題、水質惡化、未來房價掉9成都沒人要。

圖片：鄰居提供",1
"About the symptoms of the pneumonia caused by Coronavirus:
以下是新型冠狀病毒肺炎的癥狀：

1. It will first infect the throat, so the throat will have the dry sore throat feeling which will last for 3 to 4 days
1. 一開始病毒會感染喉嚨，喉嚨會覺得很乾，這種感覺大約持續3-4天。

2. Then the virus will blend into the nasal fluid and drips into the trachea and enter the lungs, causing pneumonia. This process will take 5 to 6 days.    
2. 然後病毒會侵入鼻液，再流入氣管，最後進入肺部導致肺炎。這個過程大約持續5-6天。

3. With pneumonia, comes high fever and difficulty in breathing. The nasal congestion is not like the normal kind. You will feel like you are drowning in water. It's important to go seek immediate medical attention if you feel like this. 
3. 這個肺炎的表現是高燒和呼吸困難。鼻腔堵塞的感覺跟普通感冒不太一樣，你會覺得有一種溺水無法呼吸的感覺。如果發生這種狀況的話請及時就醫。",1
"院長：
@陳芝蘭下列 參考一下，如果有需要，再正式提出
漂白水與酒精對SARS效果不好，成分為二氧化氯的消毒劑對SARS才有效，建議清潔公司拖地與擦拭時用漂白水與酒精的區域，改使用二氧化氯(商品名普立600消毒劑)，網路上都有賣，單價比酒精便宜。
若真的有疫情，建議提高使用頻率。",1
"7-11便利商店存在於台灣已經很多年歷史了。
推出各項優惠活動、禮卷、購物金！
為花蓮祈福、為許多災民不捨...
分享給親朋好友、花蓮災民祈福
(!)7-11絕不會向您索取個資(!)
請點擊下方立即確認，分享給25位好友或3個賴群組
(shiny)分享愈多，領取優惠愈多(shiny)",1
"誤會大了！味精原來無害還有營養
2018.10.17
最新研究證明味精除了給菜餚增添美味之外，還具有營養價值。味精是谷氨酸的單鈉鹽，谷氨酸是構成蛋白質的氨基酸之一，是人體和動物的重要營養物質，具有特殊的生理作用。
國際頭痛協會(International Headache Society ) 今年將味精從致頭痛因素表中剔除。營養師托碧．艾密多認為值得鼓勵，因為除了增加菜餚的鮮味以外，味精還可減少用鹽。只需一點味精即可帶出美味的食物，並為雞湯等食物增添鮮味。因為該成分的鈉含量比食鹽少三分之二，因此味精可以減少對鹽的需求。",1
"跟好心肝的許金川教授合作 ，費用完全是扶輪社捐款 ！安心去 ！歡迎 ！ 扶輪社免費活動
肝癌篩檢腹部超音波活動
時間：12月13日(日)08:30-15:30
地點：肝病防治學術基金會
地址：台北市公園路30-1號
檢查項目：肝臟、膽囊、腎臟、胰臟、脾臟
資格：年滿40歲（民國65年前出生）
注意事項：須空腹8小時及攜帶健保卡
當天希望能創下金氏世界紀錄 2000人篩檢
既可以顧健康又可以創紀錄
所以請各位幫忙轉發
謝謝！！",1
台北故宮2000件文物與日本交換100件文物，展出50年,1
"根據CNN 今天早上的報導，紐約 Mount Sinai Medical School 的研究，此次在美國肆虐的新冠病毒來源《並非來自中國而是歐洲，而且有可能已經在美國一段時間了》，⋯⋯
中國大陸背了這個黑鍋，最終可以洗清了。？？",1
"※※※資深經濟學家2020年寄語 :
1、儲備現金，美金，糧食。
2、別辭職，別創業，別投資。
3、迴歸基礎性消費，別大手大腳。
4、鍛鍊身體別得病，即使普通感冒也會被人退避三舍。
5、別被高利誘惑借人錢財。
6、控制情緒，特別是親友之間。
7、少去人多的地方是怕感染病毒，少去人少的地區是怕被搶劫，因為失業人口眾。
8、別買房，因底部不明，遠離股市因無基（基本面無用）之談。
9、回家做飯，減少在外用餐。
10·好好睡覺，早睡早起，居家亦可運動，靜看日升日落，然後期待疫情結束及疫苗測試成功才得以回歸正常的生活!",1
"文茜寫的


今天的我們，不屬於自己。屬於站邊，屬於恐懼，屬於簡化，屬於白痴。

因為台灣的政治，民主，已經在不知不覺中被痴嗔恨擄獲，有人公開參與，有人祕密加入，高亢興奮的加入這個白痴樂園。

他們稱自己是庶民，是正義：但他們的主子對權位如此貪婪。她們稱自己是自由，是平等：但他們剛剛以最粗糙的違憲法律、無視人權通過反滲透法。

他或她們以為我是女的就不能罵髒話嗎？

%%(%)

今天的我們都不屬於自己。

我們被迫參加白痴馬戲團。

在這個我不認同的政治國度，我沒有身分，只有身份証。",1
戴完就亂丟？岸邊沖刷上「大批口罩」　學者憂：海上的數量無法猜想,1
"銓敍部有原始公文可查
一、18%優存之真相:

銓敍部有原始公文可查

18%優惠存款由來，是第一條高速公路興建， 向沙烏地阿拉伯貸款，因無錢償還利息，由當時主計處提議， 按月由每位公務人員薪水扣款墊繳，並決定於領退休金時做補償，

當時有人提25趴及10趴，最後折衷為18趴， 並以民國84年為終止年，之前年資有扣到薪資的才有算， 這是非常清楚明確的。

註：18%優存利息，是退休軍公教的錢，是政府欠退休人的錢， 不是政府給的利息。

二、退休人年終獎金真相

銓敍部有原始公文可查

至於年終慰問金，則是畫蛇添足，本來就是退休金內含， 而政府為膨脹自己，硬拆開這部分於每年年終來發， 讓有心人誤以為那是多領的，甚至質疑無法源依據，而遭到刪除。

註：年終獎金，原本是退休人依法的退休金，是退休人的錢， 政府是在還錢，不是給錢。

三、新制退休金也是退休人的錢

新制退休金，是退休人在職時，所繳的退休準備金， 退休人依法退休時，這個保險契約已完成，退休之後， 這筆退休準備金，已成為退休人的錢，是政府欠退休人的， 政府本來就要還的，政府不可賴帳不還。

四、舊制退休金也是退休人的錢

民國八十四年以前的退休年資，退休人依法退休時， 這部份的退休金，是政府依法應給的退休金，這些退休金當退休人， 依法屆時退休當時，這些錢就是退休人的錢，是政府欠退休人的錢， 政府付這些錢，是在還錢，不是給錢，政府和人們，要搞清礎。

五、法律不得溯及既往

政府欠軍公教退休人員的退休金，依法就要還退休人員，退休人員， 已經依據退撫法退休並簽字選擇全領或部分全領加上部分月退，這個契約事實簽字已完成，政府依法要付退休金，「 退還」退休人，不能另立新的「惡法」刪減剝奪。

刪減剝奪退休俸的惡法，更不可違反法律的大原則「不溯既往」， 對於已完成契約的退休人，這個法律是無效的， 政府制訂這個刪減軍公教退休俸的「惡法」，是違法憲的。

六、期待大法官釋憲推翻惡法

當今政府，通過立法院，制訂了刪減軍公教退休俸的「惡法」， 對已退休的人員，是不可違反法律的大原則「不溯及既往」。

當今政府，用此惡法，一律溯及既往，扣減已退休人員的退休俸， 明顯「違法違憲」，期盼大法官，拿出正義良知， 做合法合理的釋憲，判定刪減退休俸的「惡法」無效。

七、政府不可當土匪

退休軍公教人員的退休金，是退休人的錢，不是政府給的， 是政府欠退休人的，政府欠錢就要還，怎麽可以當土匪， 不還所有退休人。

八、政府要立即還錢給退休人

現在既然弄清楚，退休金就是政府欠所有退休人的錢，欠錢還錢， 天經地義，政府不可賴帳不還，政府應立即廢除刪減退休俸的「 惡法」，並重新編列預算補發還錢，才合法合理。

九、政府不還錢就是土匪

現在政府當土匪，刪減軍公教退休人的退休金，違法違憲， 擺明就是欠錢不還，豈有公理，無法無天，人神共憤，天誅地滅， 國家怎麽不滅亡。

十、人人誤解公教退休金

天啊！
原來上自歷朝歷代總統副總統，立委，名嘴，這一向以來都 不知道18%及年終慰問金是內含在退休金裡面， 而不是外加外掛的...! 這簡直就是天大的笑話啊！

十一、賢達之士來說明

賢達之士吳萬固説

註：吳萬固，彰化縣軍公教聯盟召集人

吳萬固在電視政論節目， 拿出來的銓敘部退休函示的退休金組合內容的三大部分就是包含:
新舊制度之退休金+年終慰問金+18%= 應有之替代率算出來的金額

十二、公教退休金沒那麽複雜

賢達之士吳萬固説

向來我就一直說各位理事長前輩...等等學有專長的人， 在電視上都把制度說的太複雜了，莫說一般百姓聽不懂， 就算當事人的我們也不見得了解!

十三、政府應直接還錢給退休人

賢達之士吳萬固的見証

吳前輩已經上該節目及其他政論節目多次，每次都拿出該函解釋， 他應該得到6萬餘元，希望政府就直接付我們全額，不要有18% 及年終慰問金...這些誣衊的名義。

講的真好!也說出所有退休軍公教的心聲。

十四、電視名嘴請閉嘴

賢達之士吳萬固又説

一次又一次不厭其煩重複的解釋，今天我看到他們包括謝震武， 立委及名嘴終於聽懂了！

名嘴陳敏鳳說~ 她今天才知道原來退休軍公教人員的退休金的年終慰問金，以及18% 是內含在應該有的退休金裡面，而不是外掛的...

從主持人到在座各位竟然說，如果真的是內含，應該從長計議...

十五、退休軍公教被冤枉了!",1
"勁爆:
蝶豆花(如相片)現在坊間有很多人用之做為飲料或食物配料食用，昨晚我鄰居有位中年男性食用後，緊急送醫，目前插管急救中。醫生告知:蝶豆花是患有慢性心血(臓)病，賢臓病者絕對禁忌之食物。敬請大家要恪外謹慎小心！謝謝！",1
"看陈朗宗长怎么说

李嘉誠風水師陳伯的臨終遺訓，揭開榮華富貴的真正秘訣！

全世界關注量最高的企業家平台 3天前

大家好，今天我們跟大家分享這篇陳朗先生臨終遺訓，很受用，受益非淺：

陳伯圖片
陳朗的故

李嘉誠三十歲的時候，在香港開始經商做些小生意。有一天他們碰在一起，陳朗給他算命，算了之後跟他開玩笑說：你希望將來擁有多少財富，你就滿足了？李嘉誠先生告訴他，我能有三千萬，就很滿足了。陳朗告訴他，你命裡的財庫不是平的，是漫出來的，你將來必定成為香港首富！

不止是這樣，曾找陳朗算命的香港人有：李兆基、鄭裕彤、劉嘉玲、章小蕙、楊受成、容祖儿、謝霆鋒、黎姿、呂良偉等。另外，還有泰國國王，印度尼西亞以前的總統蘇哈托，都尊陳朗為坐上賓。

很多年前，他吃飯時碰到一個年輕人，告訴英皇老闆楊受成，這小伙子他日會很紅，你要用他。後來這年輕人確實加入了英皇娛樂，這個年輕人叫謝霆鋒。

陳朗於2007年1月29日在養和醫院病逝，享年78歲。從陳郎過去患病時所得到的照顧可以一窺富豪們如何尊重這位「御用風水師」。
 
陳朗先生臨終前，這些富豪多次私下來醫院探訪陳朗先生，陳先生也對這些富可敵國的富豪們坦誠了幫助他們「致富的因緣」和「致富的秘訣」。

陳朗先生臨終遺訓

以下是陳朗先生在醫院所說的話

1陳朗：
我為什麽要幫助你們，是因為你們可以幫助更多的人。
 
2陳朗：
其實你們這些有錢人，不是一生修來的福，都是多生累世行善積德，孝親尊師，普濟眾生，才能有現在這些福(財富地位)。
 
3陳朗：
現在很多人走錯路，想用些手段、權勢或現代知識技術來賺錢，那是因為他們不知道這些都只是緣，真正的還是自己要有因(行善積德，孝親尊師，普濟眾生)才行，如果沒有因，我也幫忙不上。
 
4陳朗：
我現在為什要來受苦(指到香港做了三次手術受盡痛苦)，雖然我是好意，幫助你們改變了緣，讓你們早點成功，可以多幫助些人，但這終究是違背了天道，還是要受上天逞罰，天自有他的道理。
 
5陳朗：
要成功，除了自己要有種因(福德)，還要有好緣，中國人講「和氣生財」是幾千年累積下來的智慧，待人要誠心正意、和顏悅色，才能結「好人緣」 ，以後就是這些人幫你成功的，千萬不要財大氣粗，心高氣傲，這是會損福的，易經中有說「滿招損，謙受益。」就是在說這事。
 
6陳朗：
做生意要走正路，自己有種因(福德)，成功是早晚的問題，福種的厚，緣自然就來的快，急不得。走正路(做生意正正噹噹、規規矩矩)也是在造福，立一個好的榜樣讓人學習，這種福也不是幾個億可以計算的，千萬不要想走歪路，否則福損的很快，命中本來有萬億的福，走歪路，減損成幾十億，自己還以為成功了，沒想到將來要受造惡的果報，實在得不償失。

7陳朗：
現在世道很壞，大家為了求名、求利不擇手段，問題還是出在沒有聖教(聖賢教育)，廉恥沒有了，更不要說仁義道德，你們這些人，如果想要世世代代保有富貴，最重要的還是要把聖教(聖賢教育)給提暢起來，人人有廉恥，人禍就少了，人禍少，天災自然就減了。
 
8陳朗：
你們這些人的影響力大，建些好學校，培養好老師，把這事(聖賢教育)做起來，中國安定了，世界各地自然就來學習，做這事，是種現在世上最大的福，行最大的善，誰來做誰就得利，世世代代得大富貴。

閱讀此文之功德迴向給所有見聞者！
不要私存，放到圈子裡，讓更多人知道吧！
當你讀完本篇文章時，你有2個選擇：
1.你可以將它傳揚出去，傳播一些積極正面的信息，讓世間多一點愛。
2.你也可以根本不去理會它，就像你從未看見一樣。

千萬別私存，送給你最愛的朋友吧！",1
"武漢病毒怕酒精不耐高溫
以毒攻毒治百病
喝酒比戴口罩強十倍
出車前高粱請先喝兩杯
可防病毒傳染",1
"各位好友
假如有收到類似:2016票選最幸福的人，千萬不要打開，他是詐騙集團釣魚網站，昨天血淋淋的真實案件，我的朋友line被駭，到處借錢，她…就是點開這種網站，不要手癢點下去",1
杭州住27楼的周先生带着4岁女儿坐电梯，电梯运行至23楼时，一阵强烈抖动后迅速下坠。他一手抱起女儿，一手迅速从低层往高层按，按亮所有楼层按键，注意一定要从低层往高层按，结果电梯在16楼停住了。。这是电梯急坠唯一自救法，人人都有可能要坐电梯，不要点赞请你转发让每人都知道，电梯急坠自救方法，功德无量，也许看一眼就能保护你最爱的人。不要点赞，请转发！（群发接力）,1
"愚昧的蔡英文執政當局！

專家分析給你聽，被賣了還幫忙數鈔票…

原”日本交流協會”更名
“日本台灣交流協會”

早已向中國報備才執行的
為何國台辦都很安靜呢？

在北京的主館 叫
“日本駐中國大使館”

在全國分處辦公室叫

廣東省辦事處叫
“日本廣東交流協會”

山東省辦事處叫
“日本山東交流協會”

臺灣省辦事處當然要叫
“日本台灣交流協會”

還在傻傻的往臉上貼金，還高捧日本人說挺台？
日本是挺中，認定你是
其中一省，哇哈哈😄

如果改成“日本中華民國
交流協會” 那才是真正挺
這個名字北京才會跳腳。

無知的蔡英文執政當局。",1
"這個是什么樣的政府？？
----- 你看一看-----
毒蟲吸食K他命      罰款一到五萬元。
喝酒開車未肇事     罰款九萬。
雜貨店賣散裝蛋     罰款十五萬。
沒想到賣雞蛋比毒品嚴重，賣蛋的要改行了。
這個蔡政府  也真是他X的腦殘⋯⋯
要不然...你說是什么？？",1
"《冉冉》

早課中，小沙彌問老禪師：「『柔條紛冉冉，葉落何翩翩』中的『冉冉』是什麼意思？」

「『軟弱無力』的意思。」老禪師回答。

「『征雲冉冉，土雨紛紛』中的『冉冉』是什麼意思？」小沙彌問。

「形容『烏煙瘴氣』的樣子。」老禪師回答。

「那蔡總統春聯：『自自冉冉，歡歡喜喜』又是什麼意思呢？」小沙彌問。

「那是一句讖語。」老禪師意在言外地道。

「讖語！？」小沙彌搔頭不解。

「『再』字砍了頭就變成『冉』，『自冉』意謂『自己砍頭』、『從此不再』的意思。」老禪師徐徐道：「你想想看，一個總統，對兩岸外交『冉冉』-『軟弱無力』，治國施政又搞得『冉冉』-『烏煙瘴氣』，一旦民怨沸騰，就會被人民推翻倒台，不能『再』執政了。」

「師父，我懂了！原來這是一句讖語啊！」小沙彌拍手笑說：「『自自冉冉』就是自己砍了自己的頭，不能『再』繼續執政，人民終於『歡歡喜喜』了，」

「孺子可教也！」老禪師點頭稱許道。",1
"馬雲說：不花錢的女人你還有前途嗎❓

1.女人消費是一種美德

2.美麗的身材靠衣裝，美麗的容顏靠美容。

3.聰明的女人在美容院裡享受，可悲的女人在醫院裡忍受。

4.時間不能等，美麗不能等，女人不論什麼時候都不停止消費，消費就是一種最超值的理財。

5.女人只有花錢，才會推動男人去賺更多錢，所以花錢是一種貢獻。

6.女人任憑你多賢惠多能幹，一旦變成黃臉婆就是潛伏在家裡最大的情感危機和財政危機。

7.你要讓他多愛你,你就要多愛你自己;他要的是一位美麗聰明的女人而不是一位榮顏憔悴的母親。

8.一個十四歲的女孩不美麗可以怨父母，而一個四十歲的女人不美麗就只能怨自己。

9.女人讓自己美麗是一種高質量的人生體驗，是人生中最本質的追求，是對他人實實在在的尊重

10.女人讚私房錢是為了將來花在老公身上，男人讚私房錢是為了將來花在其他女人身上。

11.做美容是女人一輩子的事，女人要保持神秘感，女人沒神秘感，男人就沒了新鮮感。

12.女人不能為錢而活，要為美麗健康而活。

13. 錢可以創造財富，更要創造價值，臉和皮膚是我們的一張名片，是青春活力的最好見證，是女人最大的資本，我們應該投資，讓自己價值最大化，這是最好的投資。

14.每一成功男人的背後都有一個會花錢的女人

15.男人喜歡一個女人一定會為她花錢

16.掙錢是本事，花錢是美德。

17.今天你不花.明天有人幫你花

18.女人，為了父母的期望您需要美麗;為了丈夫的事業您需要美麗;為了家庭的和睦您需要美麗;為了孩子的未來您需要美麗。

19.女人的美麗：一份天生，九分培養，堅持走自己的美麗之路，是一種積極的人生態度。美是一種責任，因為只有自己保持美麗，才能讓生活更美好，讓家庭更幸福。

20.女人不美麗只有兩種下場：穿不完的地攤貨和逛不完的菜市場。

21.會花錢的女人是家裡的財神

22.會花錢的女人就是好女人，節儉帶來的後果往往讓男人安於現狀。

23.既會花錢又會賺錢的人，是最幸福的，因為她享受兩種快樂。

24.錢是花出來的，病是攢出來的。

25.女人要花錢塑造自己的形象，因為你的形象價值百萬。",1
"《巴菲特說的七段話，簡短精闢！》

1.當有人逼迫你去突破自己，你要感恩TA, TA是你生命中的貴人,也許你會因此而改變和蛻變。

2.當沒有人逼迫你，請自己逼迫自己，因為真正的改變是自己想改變。

3.隨著年齡的增長，我們並不是失去了一些朋友，而是我們懂得了誰才是真正的朋友。

4.如果你向上帝求助，說明你相信上帝的能力; 如果上帝沒有幫助你，說明上帝相信你的能力。

5.做你沒做過的事情叫成長， 做你不願意做的事情叫改變， 做你不敢做的事情叫突破。

6.蛻變的過程是很痛苦的，但每一次的蛻變都會有成長的驚喜。

7.巴菲特在美國一所大學舉行演講。
一個學生問：你認為什麼樣的人生才是真正的成功?他沒有談到財富，而是說：“其實，你們到了我這個年紀的時候就會發現，衡量自己成功的標準就是有多少人在真正關心你、愛你。”",1
