"我好像大概知道妳說的是誰（？
 我之前跟她上過同一門課
 有遇過妳說的那些情況
 有一次她突然笑 我整個嚇到??
 不過整體來說我個人是覺得還好 沒有到很干擾
 然後她感覺好像不只是身障 說話也不太清楚??
 考試的時候是用電腦考試的
 

 能理解妳覺得吵 被干擾什麼的
 但我覺得應該就是她太投入課堂所以有點嗨吧??
 上課的時候或多或少都會有這種同學吧
 （還是你們班沒有？??
 我還蠻常遇到這種情況的
 然後問問題跟搶答的部分
 在大學的課堂上跟老師交流、踴躍發問、回答問題算是常態吧（？
 我是往這方面去想的啦?? 因為一開始也不習慣
 習慣了之後就還好了",popular
拍謝,non-popular
"你覺得有辦法接受跟他相處就行啊
 幹嘛因為是學長姐就不要在一起??
 自信一點 把好像有點去掉",non-popular
"B13 之前都有感情糾紛砍人了,遠離猴子保護自己吧",non-popular
商院也一樣 我好邊,popular
B1抱歉啦只好請你下次長高一點再來,popular
賀咧尬在,non-popular
一群猴子可憐啊,non-popular
"B6 有些就很明顯是自己硬插進去的阿
 那種把先停好的人的車幾乎關在裡面的
 還有把兩台停好好的腳踏車硬掰開變三角形插進去卡住左右的龍頭的
 都給我去甲賽^_^
 為了自己方便亂停導致別人拔車拔的要死",non-popular
感謝~現在只要收藏你這篇就好了呀XD,non-popular
晚安,non-popular
"早上八點開賽的5000
 超過八點還沒開始發號碼衣><
 搞得好緊張想說啊跑太慢是不是會直接被關門啊
 結果沒有，因為大會決定向後面的人借時間
 然後再跟後面的借、再借
 ？？？？？",non-popular
另一篇的留言就有說了啊,non-popular
"嗯，我覺得社團本身的問題可以在底下尋求老師的幫忙解決，我了解把文po上來會有洩憤的快感，自己爽的同時也可以解決問題，並強迫逃避的人必須正視問題。
 

 但其實你有發現嗎？
 社團�堣j部分人的初衷是來照顧可愛的貓狗給予的照護與關愛，但你這樣是會連累到跟你一樣有相同初衷的同學，他們也不希望待在這樣子氣氛詭譎的社團，大家不就是因為狗才聚在一起的。",popular
太好了！我剛好就缺群育兩點??,non-popular
有照片或影片嗎？,non-popular
"檯面下沒被發現的事情一大堆啦
 錯就錯在越浮越上來
 這件事冷處理 當事人低調點
 關各種社群軟體避避風頭就過了
 台灣人健忘個性
 一堆芭樂新聞洗一洗就過了啦",popular
樓上的不要這樣吧??,popular
水源清水 學城佳佳,non-popular
"哪天隱形襪一定會再流行回來啦
 流行不就是這樣嗎
 已看開
 一堆人穿長襪
 我還是照穿短襪
 就算冬天也一樣
 不露腳踝反而很不習慣
 

 而且以政大學生的特質
 比起其他理工科系為主的學校
 有在穿著打扮比例本來就高= =
 我大四老屁股了都嘛隨便穿
 簡單乾不邋遢淨就好",popular
"胖吉貓一票ˊˇˋ
 https://i.imgur.com/Plr8A2j.jpg",popular
我看像綠豆糕,non-popular
不如好好跟老師聊聊跟老師說要怎麼改進,non-popular
都棒子有什麼好參加的,non-popular
"女生不是偏愛渣男
 而是偏愛帥哥 誰理醜渣男啊
 啊男生也是偏愛正妹啊所以彼此彼此",popular
"我沒想過這報紙
 還真的有人會認真看",popular
"B4 吃飯 看電影
 找個理由 大不了等聖誕節 生日",non-popular
還有這套路 厲害??,non-popular
B02 我08屆，沒有感受到學長學弟制，07差我一屆而已欸，確定這是07屆發的？不是的話就請砲轟學長學弟制的人閉嘴吧，真不太好看。,non-popular
呵呵幸好我住五樓,non-popular
想到在成大醫院打第一劑等了兩小時??,non-popular
你們這樣跟說壞話的有什麼區別??,non-popular
置板凳,non-popular
一個抽菸一個抽衣架,non-popular
這個樓主就是遜啦 馬的討拍勒,non-popular
你錯了 他們是故意要練習生存技巧的,non-popular
B2 有些洗碗精有香精味吧??,non-popular
一起吃飯或去吃甜點！,non-popular
"100萬只是反串吧？
 

 交易是門學問，交易對象通常不會選「躲在暗處的爆料者」：
 who / whom
 when / where
 how much / how to contact
 what u need / which u pay
 

 而且如果作弊人數真如新聞所說是複數，那就更不可能單一成員去接觸不知底細的爆料者。",popular
B7 skyheart_lin,non-popular
我都叫星巴門,non-popular
辛苦了ㄦ( ?▽` )?,non-popular
這裡不是心情版欸,popular
我也想知道??,non-popular
加油加油 光是這個態度就值得光顧了??,non-popular
商學2樓（但有可能有人在練舞）,non-popular
被我拿來當飛機杯ㄌ,popular
還以為是梗圖,non-popular
幫QQ,non-popular
"一堆emoji 真的很像那種詐騙
 高時薪??
 無經驗???
 下班現領??
 工作輕鬆??
 同事可愛??
 定期聚餐??
 不法活動???
 做二休四??",popular
"雙溪的話
 耳鼻喉科推薦榮清診所（士林捷運站附近我看過最有效的）
 婦產科推薦李文達（老人家看病很久，但是真的非常仔細跟溫柔，我非常喜歡那位醫生，只是看診速度真的很慢，建議開門就去或是沒事的時候在那邊慢慢等）
 中醫的話推薦新長庚中醫，兩位醫生都很不錯，藥都很有效，而且醫生都很仔細，也不用等很久
 

 以上這些都在士林捷運站附近
 還有什麼診想看的我也可以推薦
 因為住在士林捷運站附近蠻久的時間，基本上那邊的診所我都去看過??",popular
"B2 但幾乎所有大學外面的商圈價位都很低啊
 校內還是會有CP值高的學餐
 為什麼逢甲不行??
 上大學前真的超期待學餐的
 現在快畢業了還是沒吃到??",popular
B9 不是一個人一個報告嗎 至少我們是這樣啦??,non-popular
"我心情不好的時候就是讀書，一下就睡著了
 希望原po現在心情有好一點",non-popular
"之後還會常聽""遷戶喔""
 遷三小戶
 以為上課要送房子",popular
哈哈 是我啦,non-popular
加油！你們店很好吃欸我很喜歡??,non-popular
b5馬路如虎口,non-popular
哈哈是我啦 剛剪空氣瀏海就被妳看到 討厭(???•????),non-popular
被告什麼~卡一個,non-popular
Ez,non-popular
早就該改的東西 只有22是在搶錢嗎,non-popular
真的很希望梅竹可以正常的完整辦一次??,non-popular
"黑衣一生推???
 雖然衣櫃五顏六色，但最愛的顏色依舊是黑色(人*???)?*?+",popular
我修的英文二超簡單耶,non-popular
"B3 應該是不管寫什麼 
 大家都大概曉得那些錢是做什麼用途吧
 就算是清潔費我也覺得可以欸
 但感覺他們應該可以改成費用包含場地清潔費會比較好",popular
30可以嗎,non-popular
B2 只要挺民進黨就是覺青 我看你也是很堪憂==,popular
B5 謝謝你的安慰啦 只是朋友其實也都很忙 也不是一群的那種 所以都變成自己一個人ㄌ??,non-popular
B8 來啊（黑化勃起,non-popular
還有嗎,non-popular
B5可以不要搞嗎？？？？你就不是本人是在？,non-popular
超好笑 總召去年第一個點還沒到就摔車,popular
真的超吵,non-popular
我大概一天最低是184 平常都在240左右 最高就400而已吧,popular
我想知道你那個外籍生朋友是不是以自己語言能力為藉口退掉法緒,popular
B2 但沒人會故意不關門吧??,non-popular
Wayne75525,non-popular
B1 鄰居一場 給點機會,non-popular
有錢領還要抱怨,popular
我以為財法的上課都很安靜：（,non-popular
應該是冬天發情期到了,popular
來了來了,non-popular
小診所 報到到打疫苗不用五分鐘,non-popular
我家,non-popular
越南到日本立馬從驚濤駭浪變風平浪靜ㄟ,popular
"B4 那希望你也不要哪天太白目被打ㄛ寶貝
 ????",popular
"我B4
 這邊也有錄影存證，剛剛在浴室遇到，質問她是不是甩門，她還一臉無辜說沒有。
 離開浴室直接目睹她甩門過程，瞬間血壓飆高上去敲門理論，告訴她剛剛這樣就叫“甩門”，結果她回我「所以呢？」，然後又甩門
 

 以上過程還原，就問妳們氣不氣：）",popular
沒有吧 只是這樣講很好玩而已,popular
大好人?? 感謝你惹,non-popular
B8 不是右邊跟中間都一直有問題嗎，右邊那台上次往上的時候直接中間卡住頓一下，然後才繼續運作，中間那台狀況比較多，按鈕失靈，卡住，要不然就是明明按完按鈕原本要下來結果突然轉守為攻又跑上去,non-popular
要是沒有很熟要怎麼拉近距離ㄌㄟ∼,non-popular
"B12 就算亂停車也不能這樣搞吧==
 何況是正常停車zzz",non-popular
我,non-popular
網站才得到,non-popular
可能是年輕小猴剛租在外面的炮房很興奮吧,non-popular
"考上台大醫的又還沒考過國考
 考過國考的又還沒當到主治醫師
 你以為醫生真的很好當喔？",popular
"學產的話是5000
 而且學產是門檻最低最穩拿的",non-popular
B6 認真嗎??可以的話可以開私訊我再密你！,non-popular
有要負責！推,non-popular
學校保健中心的不能投訴ㄇ,non-popular
"B3 你在講啥
 高前男友不帥還不是跟他交往10年
 外表不是她擇偶的重點吧，也不見得是所有台灣女生的
 而且高也有表示沒想到林是這麼恐怖的人
 為什麼要檢討女生怎麼選擇伴侶
 而不是檢討那個男的使用暴力",popular
"b4你什麼系的啊
 喔一系",non-popular
B2 誰會邊坐馬桶邊換衣服？？,non-popular
不要喜歡班上的男生,popular
應該加個Samsung pay,non-popular
大家可以一起去管理室跟管理員檢舉她，之前我有投訴過然後那個僑生就有收斂一點，如果再沒改善就投訴她被記點為止,popular
"B4 是有增加效率，以前一個機台在點餐，偶爾開兩個機台一起點餐
 現在四台自助點餐機可以同時進四筆單，再加上櫃檯結帳或偶爾太多人拉去櫃檯點餐，最多可能‘’同時間‘’進７筆單，麥當勞也因為這樣增加了內場的人力，根本比以前快好幾倍了",non-popular
"從很多高層就喜歡一開口就吹自己多屌就足以見愛面子程度
 而且因為高層面子
 官場上出現各種討好",non-popular
"學歷只是其中一個考核標準
 優先順序自己訂定 誰也管不著
 而女人的內在軟實力不能不把握
 尤其面對比自己能力更高的男人面前??
 （這是過來人的經驗 慕強不好意思）
 而體貼尊重應該是互相的
 單方面付出會很辛苦",non-popular
"我轉來第一天
 吃學餐的肉骨茶泡飯
 之後就再踏進去都是為了買書",popular
當個版,non-popular
B2有監視器的,non-popular
這裡就可以,non-popular
B3 你是不是本人呀?好噁心的言論,non-popular
不行吧,non-popular
轉學不要，棄修不要，道歉也不要，你去自殺好不好啊問題一堆，猴子,non-popular
告人的是法律系的同學嗎？,non-popular
有一家義大利麵的是叫花之最嗎？這幾家真的都不好吃嗎？（還沒吃過）,non-popular
b3我只是想跟大家聊天,non-popular
"只要是猴子 我就嘴
 哪個開賓士的富二代不是8+9",popular
舞蹈系名字有個文的嗎？,non-popular
趴上去,non-popular
"很多 根本沒這麼多人適合和想唸自己現在的科系 
 更多是因為社會期待與爸媽的壓力
 

 看看醫學系的醜態就知道了 還不是為了錢錢和自己看起來很屌
 

 難怪這麼多頂大生唸書唸到得憂鬱症 真的好可憐",non-popular
我來了 給我看看,non-popular
笑死，台灣駕照真的用雞腿換的，這種真的不要出來害人,non-popular
B9 ？？？,non-popular
"B6 我覺得有時候會有點吵......
 例如上憲法課跟民法總則的時候??",non-popular
哈哈是我啦,non-popular
請問基本的指導教授跟學生姓名呢？,non-popular
"B2 ??????????????
 1.那個熊貓是男的我全程沒敢BB我是真的怕他下車砍人
 2.我也就罵了一句fuck還是您希望我複述一下他原話?那就是真的髒了，沒品不是髒話，是具體形容詞謝謝
 怎麼現在都西元幾年了還有女戒的嗎？就算我真的罵髒話也是我的自由輪不到你的應該",popular
https://i.imgur.com/MPMJK4R.jpg,non-popular
人生這麼慘要怎麼不黑暗,non-popular
粉頭好色哦,popular
不要打擾他，無家可歸已經夠慘了,popular
https://sticker-assets.dcard.tw/images/138738df-95d3-46cd-bfb5-0fc2918ccaf7/orig.png,non-popular
B10 望薯條止餓嗎??,non-popular
"用非現金付款方式真的不難
 手機下載麥當勞app很多人都有吧，裡面就送你一張點點卡了，儲值可以直接在自助點餐機付款，還可以10元累積一點，跟朋友一起買了1000元的東西，就可以直接得到100點，直接獲得一個免費套餐可以兌換，各位，這個不香嗎????還可以比別人快結好帳
 

 當然你要用優惠券送東西另當別論，但根本很多來櫃檯結帳的也沒要用優惠券",non-popular
我室友是都不閉上另一個嘴巴，害我一直填滿他??,popular
這學期真的??除了剛開學那時候比較沒事，其他沒有一週有空檔，報告作業考試輪流轟炸，腎上腺素都已經沒用了，就是一直處於疲憊狀態??,popular
你是不是沒看新生盃冠亞賽,non-popular
NNN是什麼ㄚ( ????? )？,non-popular
乒乓球保衛戰原本表定是先師生組再接教職員組 莫名其妙改成教職員組先比也沒提前告知 幾十組學生就在現場乾等一個半小時 是教職員組急著要下班嗎？：）,non-popular
除非妳是台大醫學系系花,popular
貴貴的,non-popular
還有一堆沒有時間觀念的 洗衣服烘衣服不會準時去拿喲 設鬧鐘很難嗎 是沒手機喔？？？,popular
哈哈是我啦 剛剪空氣瀏海就被妳看到 討厭(???•????),popular
"B14 天分不夠 不是想在意就有用啊
 隨便啦我只要推得上系上研究所就好了
 也不用熱門的有上就好
 大不了多花幾年考研
 我學測備取上的 大一gpa 3.12 2.89
 哪有在意的本錢
 看開一點 不要餓死就好",non-popular
B19哦哦 看到了 謝謝,non-popular
所以會計女神系是誰??????,non-popular
B1 在我們官方IG/FB 可以看看喔,non-popular
"嗚嗚嗚這周剛好不在學校
 好可惜
 https://sticker-assets.dcard.tw/images/e425ebbe-6228-47a3-a89e-09365f96daac/orig.png",non-popular
"要製造緣分
 譬如你開一個卡稱
 就有人私你了",non-popular
"被我吃掉了
 

 開玩笑的",non-popular
B1 B5 和服傳統上是以平胸為美哦，通常都會在腹部纏上毛巾或布以達到直筒的身形。,popular
"我站在雲林??????
 打魚??????
 頭在暈??????
 我擁有超能力??????",popular
該不會是c吧?_?,non-popular
"叫你棄修也不要 轉學也不要 道歉也不要
 那你到底想幹嘛?",non-popular
"真的要做點功課再來欸??好丟臉的感覺
 希望歌手們不要對輔大失望",non-popular
"B7 其實這也算是清交的文化吧
 2校的學生也沒有真的很討厭對方
 只是講講垃圾話而已
 很多大學都會有的",non-popular
不可以羞羞,non-popular
你是不是不懂什麼叫如題,popular
我都直接繞過去夾,popular
好吃?? 外送大加分,non-popular
跑得快 跑得快,non-popular
如果要學生付錢這傳出去還能聽嗎哈哈哈哈哈,popular
真的拜託大家長點腦 插隊??下去,popular
B1 沒錯！,non-popular
"重機又在生命捍衛路權
 10個重機11個貪快耍帥",non-popular
你才轉學 你全家轉學??,non-popular
"我會在這裡的唯一原因是我不知道自己除了念書還會幹嘛 而且雖然說不上喜歡 但不排斥那些理工科目
 我反而覺得你至少知道不讀書自己還有哪些專長很好",non-popular
B11 真的嗎，我很抱歉,non-popular
B2 第一校區 你在哪,non-popular
你那邊還來的及 趕快叫高嘉瑜分手,popular
B10 他們是在計算成績吧??應該也不會閒到哪裡,non-popular
蛋黃哥,non-popular
"就不是因為搭訕被公審
 是他講的東西都很雷== 什麼白癡問題",non-popular
B0 好浪漫喔 祝福你們欸,non-popular
B5 會被PO到NTU台大學生交流版，椰林大道遇到怪男騷擾?,non-popular
已填完??,non-popular
"那一條路的餐廳都是給觀光客消費的
 

 學生：
 https://i.imgur.com/jOCCWOh.png",non-popular
B18 最好笑的是他喇了一堆，最後都沒喇到，講很有機會的女生，也跟別人在一起了,non-popular
這種問題一律建議棄修,non-popular
B1 下次可以一起吃呀 我都點雪花豬可以點不一樣的交換這樣,non-popular
"我那時候檢舉到學生會、校長室、教育部
 （好像真的有用??）",popular
真的大家都考蠻好的嗎...哭,non-popular
你覺得呢 0,non-popular
B21 人家也不會說實話啦,non-popular
B5 阿有些人沒實力又拿不起低分,non-popular
難得今天在學校 可惜沒有可以裝的東西??,non-popular
B1 每天都那麼貪心,non-popular
那有人要一起去看蜘蛛人嗎,non-popular
這年頭都要粉頭出來扮小丑了??,popular
B8 笑死 都快2022了還反同的人 應該到哪都不受歡迎吧,popular
B6 許願jk（沒）,non-popular
B15 去年嗎 那是誰,non-popular
https://i.imgur.com/yNTkZsm.jpg,non-popular
我很好，我現在學會如何用腳趾頭打字了,popular
天啊是大幾的呀??,non-popular
不要散佈假消息好嗎？猴子是不是？今年煙火施放地點在義大二路,non-popular
"B17 我畢業後就去考後醫和醫學殊途同歸，不會去開復健診所所以不用擔心被背刺唷！
 昨天和醫學的朋友聊這屆醫、物的學弟連個棒球賽都可以吵覺得挺有趣zzz",non-popular
"我也是∼∼∼雖然每天都有朋友一起吃飯上課 
 但就是沒有辦法跟高中一樣玩得這麼開心
 雖然本來就有心理準備大學會不一樣但也是會覺得孤單ㄋ(?? )",popular
B21 以畢業生為主不代表只有應屆畢業生可以 中文能力請加強,non-popular
"B12 ???
 資訊量過大",non-popular
有放上youtube嗎,non-popular
"B1 
 B2 
 好的我知道了謝謝兩位同學！",non-popular
韋禮安,popular
有珂拉琪就給過！！！！,non-popular
看到都氣了欸,popular
最後一節來上課也能用不見,non-popular
Bist du krank?,non-popular
罵的好man,non-popular
160/46可以嗎,non-popular
就算直接搭訕女生覺得可以，但大部分的人都不敢踏出這步的。,non-popular
B19我每堂必修課都坐在妳附近呦∼妳有夠香的??????,non-popular
帥哥來了、帥哥來了,non-popular
女的一定很正,non-popular
B9 所以是在說 B8 嗎,non-popular
B2 不是你啦 我停在學校外面耶 如果被拖去水源應該是在校內？還有可能我用詞不太精確 我說的搬出來是把他車先搬出來讓我能牽我的車 然後再把他的車隨便放進去 可能1/3有在格子外之類的(如果沒卡到我車的我都會好好的幫他們停回去) 不是整台停在格子外啦><,non-popular
B2 我是b1 要不我順便幫你帶個食品用塑膠袋上去？,non-popular
我覺得每個系都有每個系很肝、困難的地方吧，他們有他們的專業知識，我們說不定也不懂那些東西，沒必要ㄧ直比較跟互砲吧,popular
"我都是看到喜歡的
 當場跪下逼她跟我在一起
 讓她有壓力",non-popular
在體育室群組看到來朝聖,non-popular
"幹話的男生你暈哦？（好奇）
 我不喜歡幹話太多的男生好好聊天一下就會被嘴",popular
1,non-popular
在學餐哪裡ㄚ,non-popular
學妹大可勇敢拒絕 他應該習慣被拒絕了,non-popular
叫他義守黃佳保或是義守瑞豐地頭蛇更適合,non-popular
在彩排你的葬禮,non-popular
"其他時間不能練習嗎？
 

 然後 低卡本來就匿名 大家很無上限的嘴也不是一兩天 這就是這邊的生態 你也告不了 真的覺得不舒服 就把這app刪一刪 以後慎重行事不要落人口實",popular
B7你同學他們的小組作業可以把他組員送下去了吧 好雷,non-popular
"B1 學長陪你不好嘛 是不是嫌棄人家
 https://sticker-assets.dcard.tw/images/d0764c8b-f751-44ed-a719-51fce3089b3f/orig.png",non-popular
B2 netflix有,non-popular
山下科系厭世正常吧(??ω?`),non-popular
"前後呼應的搖擺
 加上沈穩的落地姿勢
 我很確定他是木柵來的",non-popular
我兄弟啦,non-popular
"醫學系。
 其他去投胎",popular
好兇????????,popular
真的不行,non-popular
各種直男發言耶XD其實我男朋友也會這樣問，可是可能因為本來就是以前認識的同學了，所以才沒有關係，陌生人這樣問可能真的不太好,non-popular
"不是為別人著想就是善良
 妳為自己著想同時也可以是個善良的人
 把自己放在第一順位是很正常的
 不可能所有事情都能顧慮到別人
 先把自己做好再來為別人想",popular
好想吃…??????,non-popular
超多的啦 剛剛數一數有7隻,non-popular
"B5 對啊
 雖然用學歷作為篩選條件可能被砲
 但我沒有辦法接受自己的小孩可能很笨這件事",popular
放心，我投訴過，但學校只有回信說會處理，然後什麼事也沒發生??,non-popular
哪間啊??????,non-popular
"B23 你到底多大啊？
 年年看到妳
 小的在文化第七年了",non-popular
看起來好過 實際上不容易,non-popular
我站在雲林 打魚 頭在暈,non-popular
B1 想吃麥當勞這是必要的負擔,popular
這裡是成大低卡版不是圖書館,popular
"我打算反串一篇給記者抄
 等記者發新聞
 我再發一篇嘲諷記者被我騙了",popular
不予置評,non-popular
是逢甲的學生嗎，好可怕,non-popular
152/43可以嗎,non-popular
"B1
 你是清大塔綠班？",popular
射了，謝謝,non-popular
請問有詳細地址嗎,non-popular
這手好好看(??? ?? ???),non-popular
簽 想看鄧佳華,non-popular
B9 來我帥的,non-popular
B5 好,non-popular
我站在雲林裡。哪暈，頭在暈,non-popular
牡丹花下死 做鬼也風流,non-popular
難道是大四紅人之一的李結怨嗎？,non-popular
在板上打「臭豆腐」就有文章了喔,non-popular
適時的製造一些肢體接觸吧，不然他也不知道有沒有機會。其實男生也會怕被拒絕，並不是每個人都像韓劇一樣。,non-popular
"問卷上什麼系所都沒寫
 母湯",non-popular
"以前會去全人前面的椅子坐著 或是設計學院前面的小廣場(現在好像拆掉了) 但都吹得到風 吹不到風的地方好像蠻少的
 妳要注意安全哦",non-popular
善心人士欸 推,non-popular
壞事?每個教授進度安排不一樣，變成11月整個月都在考試有夠痛苦,popular
大一醫技在賣的聽說也不錯,non-popular
"我也不洗澡就躺床耶 原因跟 b1一樣
 這不少見吧@@
 

 另外你其他列舉的事項我覺得除了尿尿不洗手也不算什麼奇怪事
 都有宿舍髒到發霉長香菇腐爛長蟲的情況了",popular
簽,non-popular
"求高雄好玩地點
 

 by 高雄人",non-popular
清大噁男真多 我女友之前也被亂搭訕 低情商白痴有夠多,non-popular
人太好了啦！真心覺得這個就是要靠大家自己去記時間，都已經大學了還要別人整理懶人包哈哈哈??????,non-popular
"B0應該是被付不起150又不想被罰200的窮鬼 偷走了
 每次都會有這種沒道德的人",popular
你會吃掉喔,popular
"我們這群也是剛好班上會讀書的人
 我被他們帶到平均九十
 真的很謝謝他們TT",non-popular
"B10 不要害你朋友吧
 這種匿名的平臺
 要是真的讓內部員工隨意的對外揭露發文者身分
 （即使在必須提供身分的情況下，也不代表能向不相干的人揭露）
 想必Dcard不會讓這種事發生
 況且你確定你朋友是這種人嗎？
 還是只是你自己想的
 

 我覺得講出客觀事實沒什麼問題耶
 原po 也沒有用攻擊的語氣或叫大家不要去
 雖然大家都喜歡高媽媽（我也是）
 但衛生歸衛生、人情歸人情吧？",popular
太可憐了吧??,non-popular
B1 B4你各位多觀察一下，會發現外面的服務人員，除了要管排隊人潮的秩序，還要協助自助點餐機的客人，最後還要回到櫃檯結帳，有時候甚至要一個人同時操作兩台pos機，多體諒一下麥當勞的服務人員吧！,non-popular
"笑死 如果是經濟猴的話 妳不用擔心
 因為他只是裝熟而已，根本沒朋友",non-popular
"抄？
 Re: [請益] 撐過一年了 新竹聚餐餐廳推薦
 https://www.ptt.cc/bbs/Tech_Job/M.1638419122.A.487.html",popular
B1 這是我們的小秘密的啦,non-popular
愛情就是來的這麼突然,non-popular
B3 只要是方便運動的褲子就可以歐,non-popular
louis_rap0704超帥的!!!,non-popular
估計沒有 ...,non-popular
耶誕城超爛==,non-popular
向柯南求救,non-popular
不用怕，他真的沒有人緣很好， 所有才參加很多活動找尋人緣,non-popular
本系也有欸 轉到商學院不知道哪個系了?????,non-popular
可惜太晚了??,non-popular
B3那你很酸欸,popular
b19 原來猛虎落地勢還可以這樣用,non-popular
"練的跟熊一樣
 https://i.imgur.com/S0a8322.jpg",non-popular
B7 B3喔！????,non-popular
你講的我都不知道你是不是在反串了,non-popular
我不是要潑你冷水，但先確定人家是把你當朋友，還是有其他意思，不要亂追，如果對方條件非常好，先看一下自己條件，對方有沒有可能喜歡，不確定不要亂追，多認識彼此再說，還有如果對方很正但你還好，那不用亂想，因為有好幾個男生跟他相處大概都跟你一樣，覺得他好可愛吧，呵呵,non-popular
太難過了吧??,non-popular
"彷彿看到湘北高中赤木剛憲的大猩猩灌籃
 好感動啊！這次我看過模仿最像的一個人",non-popular
B21對啊好爽 但我沒有像學姐一樣把名字講出來可是大家都猜的到是誰欸，到底是逢甲素質太高還是她做人失敗，我快高潮。,non-popular
有 劉惜君,non-popular
"我在職場上
 最討厭私下對我說別人壞話的同事",non-popular
B8 不是欸我是中文名字 有傳了兩個貼圖給你,non-popular
"B4 也是啦 
 但我其實是想說站在那裡給他們壓力：）",non-popular
導生聚好像是有編列經費的，而且老師應該也不好意思讓學生付錢吧??,popular
"超丟臉你應該拍下來的
 他們敢在那邊敲應該也不怕被放上來啦",non-popular
B17??????,non-popular
可能清大是極端現象？,non-popular
B11 不能同意更多耶?? 雖然網上有答案了,non-popular
"把你手機中的交友軟體全刪掉
 去台大椰林大道搭訕路邊女生",popular
海豚 這個地標叫海豚圓環,non-popular
105養殖已經示範過一遍了，壓的好就沒什麼人知道,non-popular
Quoi,non-popular
我疫苗假三天請好請滿,non-popular
走 帶你吃飯( ?▽?),non-popular
"B1 ==第一句就寫了
 「以為踩雷結果意外好吃的快炒」",popular
那隻娃娃很可愛欸,non-popular
簽??,non-popular
"這種女的你怎麼會想跟他們講話 噁噁噁噁
 

 就像我也不會跟公然笑女人奶小的男生來往",popular
B3 好猴好氣????,non-popular
哪裡,non-popular
好奇在哪 怕爆??,non-popular
B12閉嘴 你這潑猴 不知道你哪個系的 外系看你這種猴子發言都會牙起來 你這種一定是很會講現實不敢的 臭單身狗一隻,non-popular
手提袋,non-popular
B1不要睡覺??,non-popular
你的手成功讓我按了愛心,non-popular
B1 救救延畢仔,non-popular
是我朋友的！請問怎麼跟你拿,non-popular
吳卓源確定,non-popular
交配廳,popular
還是你看起來像假帳號,non-popular
B1 新來的？先送你一根??,non-popular
請正音 ㄋㄥˇ 三聲冷,popular
卡,non-popular
B5 會被PO到NTU台大學生交流版，椰林大道遇到怪男騷擾?,popular
歐拉歐拉歐拉歐拉歐拉歐拉歐拉歐拉,non-popular
推推推??????,non-popular
"B5 對啊
 雖然用學歷作為篩選條件可能被砲
 但我沒有辦法接受自己的小孩可能很笨這件事",non-popular
B6好猴樣確實值得羨慕,non-popular
"反正現在社會瘋子這麼多
 下一個出事的就是這種白目仔??",popular
"B4 應該沒有不行嗎？
 但B5 腫麼惹",non-popular
為什麼不想吃還買(●??`●),non-popular
請正音 ㄋㄥˇ 三聲冷,non-popular
12/8生日當天要上班上課所以提前另擇12/4辦生日趴活動,non-popular
"好暈
 

 可能有了",non-popular
半夜在外面的改管猴機會都是Jet或雷霆不意外,non-popular
有穿高跟鞋？正裝好好看??,non-popular
我們系的新生有一個女的也很精彩哦,non-popular
八里的超好吃 只是要排隊排很久,non-popular
游泳池,non-popular
來簽到??,non-popular
B2 什麼意思呀,non-popular
這種事大家都會知道是個人行為啊，怎麼某些樓就好像小粉紅，一看到自己科系被發文就急著生氣跺腳??系上總是會有些老鼠屎幹嘛這麼意外？,popular
B7 你是怎麼三個字都打錯的可以教我嗎,non-popular
"都幾歲了 什麼時間做什麼事自己難道不會衡量？
 真的是錯成這樣還想順便檢討人耶^_^
 IG發那篇來看 本來就是沒有想道歉的意思
 然後鬧更大發現不對勁再改個聲明稿 
 變成自己錯一半 罵人的也錯一半 有比較好嗎？ 
 一開始就直接認錯不就沒有雜音了？",popular
B1生物老師笑而不語,non-popular
"確定要耶誕城？那裡啥都沒有
 還不如去信義的新光三越…",non-popular
你是不是不把猴子當女生,non-popular
